set Helyek := A B C D;
param tav: A  B  C  D :=
		A  0 14 17  8
		B 14  0  5 10
		C 17  5  0 20
		D  8 10 20  0
; #km

param ido: A  B  C  D :=
		A  0 21 26 12
		B 21  0  8 15
		C 26  8  0 30
		D 12 15 30  0
; #perc

set Jaratok := j1 j2 j3 j4 j5 j6 j7 j8 j9 j10 j11 j12 t1 t2 t3 t4 t5;
set Toltojaratok  := t1 t2 t3 t4 t5;

param : honnan hova mikortol meddig tav2:=
j1  A B 10   100  16
j2  C D 10   100  21
j3  A C 10   100  19
j4  B A 1010 1100 15
j5  B C 1010 1100 9
j6  C A 1010 1100 20
j7  D A 2010 2100 9
j8  B D 2010 2100 11
j9  A D 2010 2100 10
j10 D B 3010 3100 12
j11 D C 3010 3100 21
j12 C B 3010 3100 6
t1  A A 0    120  0
t2  A A 120  240  0
t3  A A 240  360  0
t4  A A 360  480  0
t5  A A 480  600  0
;

param nBusz := 3;

param depo maxtoltes fogyasztas:=
1 A 200 2
2 B 300 4
3 A 250 3
;
