set Helyek := A B C D;
param tav: A  B  C  D :=
		A  0 14 17  8
		B 14  0  5 10
		C 17  5  0 20
		D  8 10 20  0
; #km

param ido: A  B  C  D :=
		A  0 21 26 12
		B 21  0  8 15
		C 26  8  0 30
		D 12 15 30  0
; #perc

param nJarat := 12;

param : honnan hova mikortol meddig tav2:=
1  A B 10   100  16
2  C D 10   100  21
3  A C 10   100  19
4  B A 1010 1100 15
5  B C 1010 1100 9
6  C A 1010 1100 20
7  D A 2010 2100 9
8  B D 2010 2100 11
9  A D 2010 2100 10
10 D B 3010 3100 12
11 D C 3010 3100 21
12 C B 3010 3100 6
;

param nBusz := 3;

param : depo toltes fogyasztas:=
1 A 200 2
2 B 300 4
3 A 250 3
;
